"site","width50","canopy50","crown05","crown25","crown50","crown75","crown95","crownmax","strat00","strat02","strat05","strat15","strat30","strat45","strat60","strattree","c10m","c20m","c50m","c100m","ht05","ht25","ht50","ht75","ht95","htmax","tree05","tree15","tree30","tree45","tree60"
"az pinyon",6.96,6.3,5.94,6.88,7.8,8.97,11.13,17.16,38.27,33.04,28.68,0.02,0,0,0,28.698,7.53,8.51,10.04,11.68,5.15,5.6,6.21,7.14,9.07,17.16,28.59,0.1,0,0,0
"az ponderosa",9.9,8.09,7.9,9.42,11.13,14.6,20.07,25.89,19.85,14.6,61.04,4.51,0,0,0,65.549,13.08,15.34,18.31,20.9,5.51,6.71,8.1,10.44,16.06,25.89,50.74,14.81,0,0,0
"baker beech-maple",20.25,29.29,29.47,31.61,33.27,34.39,36.58,40.63,9.94,3.18,7.02,48.46,31.4,0,0,86.879,31.97,33.45,35.17,36.73,10.96,25.21,28.55,31.05,33.42,40.63,0.08,6.44,80.36,0,0
"blandford forest",20.5,26.83,23.94,29.01,31.3,33.22,36.55,37.67,4.36,1.88,8.56,67.65,17.55,0,0,93.759,29.64,31.38,33.48,34.83,11.72,21.4,25.96,28.96,32.5,37.67,0.05,32.96,60.75,0,0
"boreal aspen sw",14.27,18.92,19.9,22.62,24.01,25.75,28.28,36.24,4.85,7.51,22.42,65.14,0.08,0,0,87.638,23.62,25.46,27.91,29.66,7.08,14.84,18.35,21.21,24.34,36.24,0.55,85.33,1.75,0,0
"boreal spruce ne",6.86,6.41,6.38,7.47,8.48,9.86,12.77,16.9,26.81,33.12,40.07,0,0,0,0,40.07,8.47,9.62,11.85,15.84,5.24,5.76,6.4,7.38,9.68,16.9,39.99,0.08,0,0,0
"boreal spruce se",7.74,7.01,7.08,8.11,9.32,11.02,12.76,15.49,13.05,17.01,69.93,0,0,0,0,69.935,9.8,10.74,12.21,13.73,5.41,6.14,6.93,8.02,10.28,15.49,69.88,0.05,0,0,0
"california broadleaf",19.48,18.95,13.3,19.92,25.36,33.05,43.88,50.5,1.12,1.35,29.66,58.53,9.15,0.2,0,97.533,26.38,30.49,36.84,41.82,8.33,13.76,18.07,23.03,34.13,50.5,8.49,57.32,28.05,3.68,0
"clinton successional beech-maple",14.93,18.64,18.81,21.52,22.58,24.61,25.99,27.27,9.22,3.48,18.75,68.55,0,0,0,87.296,22.22,23.56,25.58,26.88,9.12,15.76,18.23,20.53,23.11,27.27,0.86,86.44,0,0,0
"congaree bottomland",20.65,23.72,14.68,24.64,30.97,35.21,44.28,50.48,0.92,1.87,29.56,52.01,15.17,0.46,0,97.213,29.82,34.01,39.04,43.03,7.53,13.4,20.67,27.34,35.17,50.48,5.45,38.84,48.72,4.2,0
"congaree swamp",21.79,29.8,29.21,31.78,33.57,35.39,38.83,41.49,0.14,0.13,2.26,50.52,46.94,0,0,99.726,32.8,33.96,35.5,36.98,19.13,26.72,29.57,32.21,36.02,41.49,0,9.03,90.69,0,0
"cove hardwoods",22.05,29.97,27.97,33.86,37.59,41.94,47.98,55.52,1.97,2.99,11.46,43.63,38.76,1.19,0,95.038,35.44,38.86,43.03,45.98,9.55,21.82,28.24,33.52,40.77,55.52,0.81,7.8,74.06,12.37,0
"dry-mesic forest",21.38,26.38,26.09,28.81,30.99,32.91,35.27,42.05,2.56,1.42,6.94,74.29,14.8,0,0,96.025,29.76,31.55,34.09,36.11,12.92,22.17,25.95,28.53,31.92,42.05,0.03,36.57,59.43,0,0
"eaton successional beech-maple",17.44,22.29,19.49,24.09,26.73,28.91,30.99,36.25,6.19,2.82,12.23,78.01,0.75,0,0,90.986,25.54,27.07,29.45,31.33,10.65,17.64,21.52,24.37,27.67,36.25,0.59,81.42,8.98,0,0
