"site","open","tshrub.cover","tree.cover","tree05","tree15","tree30","tree45","tree60","ht05","ht25","ht50","ht75","ht95","htmax"
"boreal spruce ne",0,0,100,0,100,0,0,0,22,22,22,22,22,22
"cove hardwoods",0,0,100,0,0,100,0,0,35.2,36,37,38,38.8,39
"hartwick white pine-red pine",0,0,100,0,100,0,0,0,22,22,22,22,22,22
"mio jack pine 19 y",0,0,100,50,50,0,0,0,14.05,14.25,14.5,14.75,14.95,15
"mio jack pine 39 y",0,0,100,0,100,0,0,0,17,17,17,17,17,17
"northern hardwoods cove",0,0,100,0,100,0,0,0,26,26,26,26,26,26
"oak-chestnut",0,0,100,0,0,100,0,0,33.15,33.75,36,38,38,38
"ramsey cove hardwood",0,0,100,0,0,100,0,0,32.6,35,36.5,37,37,37
"ramsey northern hardwoods",0,0,100,0,0,100,0,0,30.4,32,34,36,37.6,38
"ramsey oak-chestnut",0,0,100,0,0,100,0,0,37,37,37,37,37,37
"redwoods",0,0,100,0,0,100,0,0,34.1,34.5,35,35.5,35.9,36
"selva lowland",0,0,100,0,0,100,0,0,35,35,35,35,35,35
"selva upland",0,0,100,0,0,100,0,0,36,36,36,36,36,36
"sitka spruce rainforest",0,0,100,0,0,100,0,0,36,36,36,36,36,36
"successional cove hardwoods",0,0,100,0,0,100,0,0,34,34,34,34,34,34
"warren beech-maple",0,0,100,0,100,0,0,0,22,22,22,22,22,22
"yellow pine",0,0,100,0,0,100,0,0,37,37,37,37,37,37
"yunque 2018 high",0,0,100,0,100,0,0,0,27,27,27,27,27,27
