"site","open","tshrub.cover","tree.cover","tree05","tree15","tree30","tree45","tree60","ht05","ht25","ht50","ht75","ht95","htmax"
"northern hardwoods cove",0.03,0.04,99.93,0.09,77.8,22.04,0,0,23.84,26.67,28.22,29.73,31.7,37.32
"northern hardwoods sunslope",0.18,0.04,99.77,11.34,88.43,0,0,0,12.77,17.18,19.17,20.97,22.84,28.63
"mio aspen 19 y",0,3.73,96.27,96.27,0,0,0,0,5.99,7.32,8.41,10.11,12.14,14.04
"mio jack pine 19 y",22.07,69.41,8.52,8.52,0,0,0,0,5.28,6.12,6.96,7.8,8.9,13.1
"mio jack pine 39 y",2.18,3.83,93.99,93.99,0,0,0,0,6.13,7.21,7.8,8.33,9.08,12.47
"hartwick northern hardwoods",0,0.02,99.98,0.19,88.13,11.66,0,0,22.6,25.87,27.45,28.78,31.8,41.73
"hartwick white pine-red pine",0.12,0.19,99.68,0.52,28.25,66.81,4.1,0,23.49,29.27,34.37,39.66,44.61,50.19
"warren beech-maple",0.21,0.5,99.29,2.79,45.93,50.57,0,0,18.08,26.54,30.13,32.52,35.35,43.13
"russ beech-maple-tulip",0.51,0.78,98.71,3.81,33.9,61,0,0,17.4,28.39,31.07,32.86,35.56,44.89
"redwoods",0.22,0.55,99.23,2.26,12.73,42.39,37.63,4.22,20.33,35.16,42.94,49.61,59.2,78.15
"cove hardwoods",0.1,0.86,99.04,6.17,39.66,51,2.22,0,13.66,25.53,30.77,35.53,42.67,55.52
"heath bald",20.35,55.55,24.1,24.1,0,0,0,0,5.1,5.46,5.99,6.87,8.89,13.07
"oak-chestnut",0.01,0.25,99.73,17.43,70.53,11.77,0.01,0,10.66,17.1,22.39,26.93,32.63,46.91
"successional cove hardwoods",0.04,0.08,99.88,0.57,25.32,73.12,0.87,0,24.12,29.81,33.16,36.03,39.97,51.83
"yellow pine",0.01,2.58,97.41,90.3,7.12,0,0,0,6.55,8.98,11.07,12.89,15.58,26.74
"eaton successional beech-maple",0.66,0.82,98.52,5.96,90.85,1.72,0,0,14.18,20.14,23.34,26.1,28.75,36.25
"baker beech-maple",0.92,1.17,97.91,4.04,44.07,49.81,0,0,16.55,27.5,30.1,32.08,34.35,40.63
"clinton successional beech-maple",0.5,1,98.5,11.03,87.47,0,0,0,11.72,17.69,19.85,21.66,24.04,27.27
"selva lowland",0.5,0.99,98.51,5.86,48.04,41.84,2.76,0.01,13.99,23.46,29.06,34.36,42.54,61.67
"selva upland",0.07,0.22,99.72,4.43,69.69,25.31,0.29,0,15.45,21.5,25.73,30.18,36.77,53.97
"boreal aspen sw",0.31,2.5,97.19,12.98,83.86,0.34,0,0,9.68,17.76,20.48,22.64,25.71,36.24
"boreal spruce ne",1.45,26.3,72.25,72.22,0.03,0,0,0,5.31,6.09,6.93,8.06,10.66,16.9
"boreal spruce se",0.44,5.11,94.45,94.44,0.01,0,0,0,5.89,6.97,7.96,9.29,11.47,15.49
"sitka spruce rainforest",3.4,3.45,93.15,7.81,20.43,31.22,19.03,14.65,11.03,27.44,38.61,52.23,71.42,90.16
"longleaf pine",22.68,5.03,72.29,12.1,55.52,4.66,0,0,7.94,18.48,23.62,26.97,30.39,36.28
"krumholtz",74.76,23.58,1.66,1.66,0,0,0,0,5.08,5.39,5.71,6.43,7.21,7.55
"rocky mt spruce ne",2.75,3.79,93.46,50.31,42.87,0.28,0,0,7.71,12.09,14.62,17.1,21.6,36.36
"rocky mt spruce sw",5.43,8.22,86.35,70.48,15.87,0,0,0,6.25,9.38,12.03,14.21,18.21,29.4
"ramsey cove hardwood",0.12,1.2,98.68,6.77,49.28,41.89,0.74,0,13.18,23.92,28.84,33.35,39.72,54.13
"ramsey heath bald",1.67,82.12,16.21,14.99,1.23,0,0,0,5.1,5.68,6.81,9.37,16.69,24.59
"ramsey northern hardwoods",0.08,1.65,98.27,11.22,72.08,14.97,0.01,0,10.79,19.54,24.16,28.01,33.53,46.36
"ramsey oak-chestnut",0.01,0.17,99.83,23.76,74.16,1.91,0,0,10.09,15.33,19.82,23.44,28.06,38.45
"ramsey yellow pine",0.02,1.54,98.44,93.35,5.09,0,0,0,6.47,8.52,10.3,11.81,15.07,19.95
