"site","open","tshrub.cover","tree.cover","tree05","tree15","tree30","tree45","tree60","ht05","ht25","ht50","ht75","ht95","htmax","gapAre","gapHa","emergAre","emergHa"
"northern hardwoods cove",0.3,0.07,99.62,0.25,84.82,14.56,0,0,22.31,25.81,27.26,28.87,31.07,37.32,0,2.81,0,0
"northern hardwoods sunslope",0.38,0.08,99.54,15.16,84.38,0,0,0,11.57,16.18,18.2,20.39,22.19,28.63,0,5.1,0,0
"mio aspen 19 y",5.46,13.75,80.79,80.79,0,0,0,0,5.53,6.47,7.4,8.76,10.99,13.5,0.01,100,0,0
"mio jack pine 19 y",43.86,50.75,5.39,5.39,0,0,0,0,5.24,5.87,6.54,7.36,8.49,13.38,80.85,100,0,0
"mio jack pine 39 y",7.8,7.2,85,85,0,0,0,0,5.62,6.47,7.1,7.7,8.54,12.25,0.51,19.88,0,0
"hartwick northern hardwoods",0.23,0.1,99.67,0.87,92.86,5.94,0,0,20.52,24.19,26.26,27.74,30.32,40.53,0,0.63,0,0
"hartwick white pine-red pine",0.92,0.4,98.68,2.2,44.11,50.88,1.48,0,18.91,26.19,30.62,36.25,42.57,50.19,0,1.34,18.86,85.16
"warren beech-maple",1.83,1.22,96.95,5.81,53.63,37.51,0,0,13.79,23.99,28.46,31.51,34.53,43.13,0,12.03,0,0
"russ beech-maple-tulip",3.38,1.87,94.75,5.94,43.7,45.11,0,0,12.99,26.52,29.65,31.83,34.5,44.89,0,10.11,0,0
"redwoods",1.36,1.34,97.31,4.51,17.71,44.25,28.32,2.51,15.61,31.16,39.56,47.02,56.78,78.15,0.01,0.9,71.97,99.96
"cove hardwoods",2.01,2.97,95.02,11.46,43.52,38.83,1.22,0,9.57,21.86,28.27,33.53,40.79,55.52,0,0.29,6.38,58.49
"heath bald",28.92,57.44,13.64,13.64,0,0,0,0,5.08,5.31,5.65,6.32,8.3,12.26,48.18,100,0,0
"oak-chestnut",0.29,1.72,97.99,24.08,66.04,7.87,0,0,8.22,15.17,20.76,25.57,31.39,46.91,0,0.17,0.05,8.18
"successional cove hardwoods",0.39,0.39,99.21,1.99,38.96,57.82,0.45,0,19.74,27.2,31.23,34.19,38.37,51.83,0,0,2.19,14.54
"yellow pine",0.69,11.95,87.36,84.29,3.07,0,0,0,5.82,7.61,9.68,11.68,14.37,26.1,0,0,0,0
"eaton successional beech-maple",6.19,2.82,90.99,12.23,78.01,0.75,0,0,10.65,17.64,21.52,24.37,27.67,36.25,0.06,50.5,0,0
"baker beech-maple",9.94,3.18,86.88,7.02,48.46,31.4,0,0,10.96,25.21,28.55,31.05,33.42,40.63,0,16.1,0,0
"clinton successional beech-maple",9.22,3.48,87.3,18.75,68.55,0,0,0,9.12,15.76,18.23,20.53,23.11,27.27,0,100,0,0
"selva lowland",1.62,1.92,96.46,10.38,51.7,32.44,1.93,0,10.77,20.77,26.84,32.47,40.97,61.67,0.12,8.1,6.07,72.83
"selva upland",0.44,0.65,98.91,9.93,70.84,17.95,0.19,0,12.18,18.97,23.53,28.25,35.2,53.97,0.01,1.37,0.74,20.17
"boreal aspen sw",4.86,7.51,87.62,22.41,65.13,0.08,0,0,7.08,14.84,18.35,21.21,24.34,36.24,0,0,0,0
"boreal spruce ne",26.81,33.12,40.07,40.07,0,0,0,0,5.24,5.76,6.4,7.38,9.68,16.9,1.51,37.57,0,0
"boreal spruce se",13.05,17.01,69.93,69.93,0,0,0,0,5.41,6.14,6.93,8.02,10.28,15.49,0,8.85,0,0
"sitka spruce rainforest",12.42,4.62,82.95,9.78,22.92,27.22,13.37,9.68,9.06,23.55,34.23,47.08,68.7,90.16,0.15,12.76,65.96,100
"longleaf pine",39.62,4.49,55.89,11.1,42.44,2.35,0,0,7.5,16.93,22.49,26.17,29.71,36.28,3.95,84.13,0,0
"krumholtz",87.94,11.58,0.48,0.48,0,0,0,0,5.08,5.32,5.64,6.22,6.94,7.55,91.81,100,0,0
"rocky mt spruce ne",19.92,8.32,71.75,52.54,19.12,0.1,0,0,6.41,9.86,12.56,15.28,19.42,36.36,0,0,0,0
"rocky mt spruce sw",25.44,12.08,62.48,57.17,5.31,0,0,0,5.77,7.88,10.55,12.54,16.28,29.4,0,0,0,0
"ramsey cove hardwood",2.45,4.05,93.5,12.43,51.66,29.06,0.35,0,9.16,20.46,26.51,31.38,37.88,54.13,0.01,0.53,2.48,44.97
"ramsey heath bald",5.06,86.61,8.34,7.6,0.74,0,0,0,5.13,5.74,7.08,10.67,17.17,20.28,50.12,93.46,0,0
"ramsey northern hardwoods",1.74,5,93.26,17.97,66.66,8.62,0,0,8.08,16.73,22.02,26.24,31.85,46.36,0.1,8.14,0.04,1.83
"ramsey oak-chestnut",0.19,1,98.81,31.47,66.3,1.04,0,0,8.11,13.34,17.98,22,26.82,38.45,0,0.41,0,0.42
"ramsey yellow pine",0.54,7.77,91.69,89.53,2.17,0,0,0,5.72,7.16,8.78,10.75,13.53,20.26,0,0,0,0
"prrainforest",0.01,0.02,99.97,3.78,83.85,12.33,0.01,0,15.68,20.55,23.67,27.26,32.67,49.55,0,1.12,0.07,3.23
"yunque 2015 high",2.03,13.31,84.66,81.37,3.29,0,0,0,5.47,6.72,8.33,10.65,14.31,24.92,1.74,29.42,0,0
"yunque 2015 low",0.16,0.09,99.75,9.66,88.44,1.65,0,0,13.14,17.51,20.57,23.12,27.53,42.61,0,0,0,0
"yunque 2018 high",5.87,26.94,67.2,66.66,0.53,0,0,0,5.35,6.22,7.33,8.88,12.02,23.44,3.3,43.39,0,0
"yunque 2018 low",1.29,8.25,90.47,41.19,48.67,0.6,0,0,6.83,11.58,15.83,20.1,25.38,41.28,0,1.51,0,0
"redwoods humbolt",0.88,0.59,98.52,3.56,11.47,12,18.33,53.17,17.39,41.85,62.42,74.42,86.34,105.22,0,12.12,97.22,100
